Citation,Sub citation,Sub citation,Sub url,Common name,Measurement method,Measurement name,Measurement value,Measurement units,Measurement condition name,Measurement condition value,Measurement condition units,Measurement condition name,Measurement condition value,Measurement condition units
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"McDonald A M, Chao G Y, Grice J D. The Canadian Mineralogist 32 (1994) 843-854.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Abenakiite-(Ce),X-ray diffraction,Intensity,"[27.08, 44.2, 34.69, 70.45, 13.63, 1.54, 3.4, 28.56, 35.95, 5.05, 1.81, 12.33, 1.17, 9.75, 2.18, 4.54, 45.15, 36.07, 11.68, 22.92, 1.11, 24.53, 5.21, 1.21, 6.56, 17.08, 39.55, 1.53, 1.65, 1.43, 8.92, 2.09, 9.4, 6.58, 3.85, 2.29, 4.2, 4.07, 1.18, 5.17, 4.08, 97.77, 2.23, 2.43, 80.43, 7.48, 3.21, 2.16, 1.51, 10.29, 1.31, 3.6, 2.06, 3.62, 5.14, 4.44, 13.06, 2.09, 1.37, 3.53, 1.35, 4.39, 2.69, 5.91, 1.21, 8.24, 5.38, 1.69, 4.29, 1.37, 3.86, 2.88, 7.9, 8.39, 7.67, 1.82, 27.43, 2.07, 2.81, 4.01, 3.75, 7.18, 7.33, 2.16, 3.56, 2.83, 1.33, 2.17, 1.46, 8.07, 3.13, 3.05, 5.48, 2.92, 4.39, 1.98, 5.56, 40.61, 5.76, 1.36, 11.58, 2.84, 1.06, 1.48, 1.45, 1.36, 10.72, 3.67, 1.1, 1.29, 4.4, 1.07, 2.24, 6.22, 3.03, 1.42, 6.41, 3.47, 1.62, 4.64, 2.11, 1.42, 1.15, 2.24, 1.03, 2.07, 6.37, 5.51, 1.35, 1.08, 2.47, 7.65, 1.62, 1.04, 2.95, 1.34, 3.72, 1.23, 5.12, 10.55, 1.33, 1.12, 1.33, 2.65, 4.8, 9.89, 6.29, 1.98, 1.07, 1.34, 1.19, 3.59, 1.0, 1.07, 1.21, 2.25, 1.12, 2.66, 1.72, 1.06, 1.11, 1.22, 3.02, 1.69, 1.46, 1.11, 1.6, 2.14, 1.27, 1.27, 6.07, 4.55, 1.07, 1.2, 1.71, 1.1, 1.03, 1.83, 2.62, 1.34, 1.57, 1.51, 1.39, 1.71, 1.16, 1.34, 1.32, 1.13, 1.02, 1.37, 1.44, 1.01, 1.71, 1.58, 2.14, 2.01, 1.13, 2.0, 1.46, 1.32, 2.09, 1.17, 1.09, 1.04, 1.04, 1.56, 1.07, 2.58, 1.09, 1.84, 1.73, 1.19]",Arb. units,2$\Theta$,"[7.77, 10.94, 13.33, 13.52, 15.57, 17.35, 17.35, 17.49, 18.93, 19.13, 19.13, 19.19, 21.97, 22.2, 23.23, 23.44, 23.44, 23.55, 23.55, 24.65, 24.65, 24.81, 24.81, 25.79, 25.98, 28.13, 28.13, 28.4, 29.12, 29.33, 29.46, 29.46, 29.5, 31.43, 32.11, 32.35, 32.35, 32.5, 32.5, 32.5, 32.58, 33.22, 33.22, 33.41, 33.56, 34.28, 34.5, 34.5, 35.11, 35.4, 35.9, 35.9, 36.12, 36.12, 36.26, 36.26, 36.33, 36.67, 37.09, 37.2, 37.2, 38.82, 38.82, 39.38, 39.38, 39.58, 40.09, 40.32, 40.32, 40.48, 40.58, 40.61, 40.61, 40.77, 41.22, 41.35, 41.35, 42.62, 42.8, 42.93, 42.93, 42.99, 43.28, 43.5, 43.5, 43.65, 43.65, 43.74, 45.43, 45.43, 45.84, 46.02, 46.64, 46.73, 47.13, 47.42, 47.48, 47.94, 48.56, 48.73, 48.73, 48.91, 49.36, 49.36, 49.61, 50.55, 50.85, 50.88, 51.12, 51.34, 51.61, 51.61, 51.61, 51.66, 51.67, 51.67, 51.91, 52.84, 53.43, 53.8, 53.8, 54.01, 54.27, 54.27, 54.27, 54.27, 54.32, 54.87, 54.95, 54.95, 56.13, 56.74, 56.89, 57.3, 57.51, 57.65, 58.15, 58.65, 58.65, 59.13, 59.25, 59.34, 59.39, 59.4, 59.79, 59.79, 60.01, 60.85, 61.23, 61.54, 61.69, 62.31, 63.22, 63.51, 63.93, 64.07, 64.07, 64.22, 64.78, 64.78, 64.81, 64.81, 65.85, 65.85, 66.27, 66.5, 66.76, 67.04, 68.07, 68.71, 69.74, 70.55, 70.86, 70.97, 71.1, 71.11, 71.29, 71.47, 71.64, 72.22, 72.76, 73.07, 73.29, 73.34, 74.2, 74.31, 75.4, 76.64, 77.07, 78.07, 79.24, 79.26, 79.45, 79.62, 79.65, 79.65, 80.08, 80.23, 80.23, 80.7, 80.83, 80.83, 82.49, 83.3, 83.71, 84.04, 84.05, 85.66, 86.55, 86.9, 87.93, 89.83]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Ross M, Evans H T. American Mineralogist 49 (1964) 1578-1602.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Abernathyite,X-ray diffraction,Intensity,"[100.0, 34.13, 18.39, 6.5, 10.9, 56.45, 38.19, 52.94, 3.52, 23.66, 7.37, 11.37, 8.75, 5.7, 9.42, 19.48, 5.92, 9.02, 3.81, 3.35, 5.42, 13.44, 2.5, 2.0, 9.97, 8.86, 5.1, 1.2, 5.11, 2.9, 8.89, 4.21, 5.39, 5.3, 1.81, 7.16, 1.48, 1.21, 1.19, 5.29, 1.11, 6.31, 2.17, 7.54, 10.27, 5.89, 1.59, 2.55, 1.35, 1.7, 1.08, 1.25, 2.31, 1.52, 7.78, 2.43, 2.5, 1.12, 1.98, 1.06, 2.15, 2.76, 1.7, 2.28, 1.17, 1.06, 1.55, 2.19, 1.58, 1.22, 1.76, 1.9, 2.52, 1.29]",Arb. units,2$\Theta$,"[9.76, 15.75, 17.48, 19.59, 20.06, 23.21, 24.81, 26.72, 28.24, 29.53, 31.81, 32.15, 34.24, 34.55, 35.38, 36.79, 38.94, 39.72, 39.78, 40.76, 41.0, 41.03, 41.81, 42.56, 42.75, 43.76, 46.73, 47.46, 48.55, 49.23, 50.06, 50.29, 50.9, 51.96, 53.62, 53.7, 54.23, 55.05, 55.25, 55.27, 55.89, 56.65, 56.91, 57.43, 57.48, 58.41, 61.28, 61.49, 62.07, 62.87, 62.98, 63.03, 64.35, 65.89, 65.96, 68.59, 69.33, 72.13, 72.98, 72.98, 74.17, 75.63, 75.71, 77.13, 78.44, 79.69, 79.89, 80.31, 81.11, 84.95, 85.6, 86.43, 87.82, 89.1]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Schnering H G, Nesper R, Pelshenke H. Zeitschrift fur Naturforschung B36 (1981) 1551-1560.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Abhurite,X-ray diffraction,Intensity,"[21.36, 26.76, 25.97, 24.78, 24.33, 2.33, 16.42, 15.65, 1.57, 5.48, 63.53, 7.33, 1.17, 3.31, 30.61, 1.55, 22.57, 47.35, 35.44, 44.84, 7.69, 33.59, 19.78, 12.17, 1.55, 2.91, 2.86, 1.68, 38.0, 81.34, 19.22, 6.24, 57.56, 14.18, 14.23, 7.42, 3.91, 100.0, 4.51, 2.06, 15.16, 12.68, 5.83, 5.81, 8.39, 4.81, 7.28, 5.6, 2.2, 4.37, 9.86, 13.66, 4.36, 14.1, 1.57, 5.67, 3.17, 4.53, 3.82, 7.72, 5.41, 9.36, 1.4, 1.87, 6.07, 4.89, 7.62, 1.36, 7.89, 5.63, 2.76, 19.63, 2.75, 5.88, 3.35, 21.32, 2.56, 2.88, 9.85, 1.15, 2.92, 3.73, 2.05, 12.32, 1.79, 15.3, 2.75, 6.71, 1.38, 1.75, 7.4, 4.69, 1.44, 1.96, 1.24, 3.92, 4.5, 1.6, 1.85, 2.02, 7.32, 1.16, 4.15, 14.55, 2.66, 12.88, 1.06, 2.22, 4.05, 1.98, 3.26, 5.03, 9.28, 3.82, 2.22, 3.69, 1.78, 2.17, 8.1, 1.95, 4.65, 11.26, 4.88, 4.35, 5.94, 3.47, 2.26, 1.52, 2.74, 3.85, 1.04, 4.43, 3.77, 1.99, 2.08, 4.16, 1.01, 1.01, 2.84, 1.21, 5.47, 1.04, 6.7, 4.42, 4.74, 1.01, 1.03, 2.11, 1.7, 1.33, 1.81, 1.44, 1.38, 1.55, 1.73, 1.01, 2.93, 1.1, 3.39, 1.32, 4.41, 1.31, 1.2, 2.27, 1.53, 1.21, 1.33, 1.31, 2.23, 1.15, 2.36, 3.7, 3.87, 2.86, 3.14, 3.25, 2.3, 1.77, 2.16, 1.64, 2.93, 1.25, 1.29, 1.0, 2.05, 1.39, 1.59, 1.01, 1.86, 1.76, 2.69, 1.09, 1.32, 3.62, 1.33, 1.16, 2.42, 1.23, 2.11, 1.24, 3.12]",Arb. units,2$\Theta$,"[10.39, 12.06, 12.99, 14.33, 17.41, 17.71, 18.13, 18.72, 19.1, 20.57, 21.48, 22.02, 22.85, 24.26, 24.49, 24.93, 25.45, 26.16, 27.27, 27.5, 28.29, 28.4, 28.89, 29.06, 30.19, 30.23, 30.39, 30.45, 30.75, 30.92, 31.53, 31.53, 31.76, 33.3, 34.09, 34.18, 35.25, 35.45, 35.86, 36.08, 36.08, 36.19, 36.39, 37.43, 37.6, 37.96, 38.2, 38.29, 38.8, 39.68, 39.68, 39.71, 40.28, 40.46, 40.93, 41.06, 41.69, 42.48, 42.83, 42.9, 43.76, 43.9, 44.17, 44.58, 44.92, 45.63, 45.77, 46.24, 46.28, 46.36, 46.79, 46.98, 47.58, 47.69, 47.94, 48.06, 48.08, 48.48, 48.65, 49.7, 49.74, 49.74, 49.89, 49.93, 50.2, 50.31, 50.38, 51.26, 51.78, 51.78, 51.86, 52.28, 53.17, 53.39, 53.46, 53.65, 53.82, 53.85, 54.02, 54.54, 54.56, 54.89, 55.0, 55.24, 55.38, 55.59, 56.14, 56.26, 56.53, 56.67, 56.77, 57.15, 57.31, 57.93, 57.97, 57.97, 58.14, 58.26, 58.4, 58.48, 58.76, 59.47, 59.59, 59.63, 59.96, 60.23, 60.32, 60.97, 61.29, 61.4, 61.64, 61.89, 61.98, 61.98, 62.06, 62.78, 62.95, 62.99, 63.31, 63.37, 63.37, 64.05, 64.13, 64.17, 64.44, 64.66, 65.74, 66.05, 66.4, 66.55, 66.55, 67.03, 67.43, 67.55, 67.63, 67.75, 67.94, 68.65, 68.68, 68.77, 68.77, 69.24, 70.03, 70.46, 71.53, 71.63, 71.7, 71.78, 71.81, 72.18, 72.18, 72.35, 72.53, 73.19, 73.64, 73.8, 74.83, 74.95, 76.2, 76.52, 76.6, 79.27, 79.31, 79.59, 79.94, 80.19, 80.73, 80.91, 82.69, 82.72, 82.96, 83.31, 83.31, 83.47, 83.64, 87.05, 87.19, 88.23, 88.29, 88.85, 89.76]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Reinecke T, Tillmanns E, Bernhardt H J. Neues Jahrbuch fur Mineralogie, Abhandlungen 163 (1991) 117-143.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Abswurmbachite,X-ray diffraction,Intensity,"[2.6, 1.67, 8.48, 1.76, 100.0, 1.03, 13.21, 6.07, 1.24, 2.78, 2.55, 8.61, 3.98, 1.26, 3.97, 9.79, 27.27, 1.5, 3.46, 2.92, 2.63, 1.68, 13.45, 10.0, 1.77, 4.46, 1.27, 1.31, 1.97]",Arb. units,2$\Theta$,"[16.4, 18.87, 25.61, 32.17, 33.15, 35.87, 38.28, 38.85, 39.81, 41.9, 42.16, 42.36, 48.65, 50.44, 52.97, 55.24, 55.68, 60.34, 60.55, 61.85, 63.53, 65.39, 65.96, 66.74, 68.63, 69.58, 81.94, 82.92, 83.38]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Frueh A J. Zeitschrift fur Kristallographie 110 (1958) 136-144.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Acanthite,X-ray diffraction,Intensity,"[1.51, 8.69, 1.19, 2.18, 10.87, 19.04, 19.57, 61.89, 66.68, 47.56, 100.0, 70.93, 38.96, 76.39, 42.12, 68.49, 1.82, 2.48, 50.76, 7.52, 51.14, 16.6, 21.0, 10.35, 1.64, 15.71, 2.8, 2.29, 13.29, 13.88, 1.67, 4.98, 2.73, 1.84, 6.99, 4.0, 7.94, 21.78, 3.07, 5.77, 1.7, 3.54, 2.86, 8.99, 6.88, 7.41, 7.75, 1.06, 3.47, 2.63, 8.95, 1.68, 11.57, 4.63, 1.36, 2.59, 13.71, 10.4, 25.24, 8.83, 3.2, 3.12, 3.54, 4.33, 2.06, 2.3, 2.4, 1.36, 4.58, 17.76, 6.38, 8.98, 2.75, 3.21, 6.95, 5.57, 7.22, 3.43, 1.47, 4.62, 2.86, 2.47, 4.75, 3.5, 6.84, 2.23, 1.75, 2.26, 4.45, 4.21, 3.22, 1.2, 1.23, 2.57, 1.08, 1.34, 4.03, 2.23, 1.18, 3.0, 1.71, 2.52, 2.1, 4.05, 2.46, 1.45, 1.05, 2.09, 2.32, 1.7, 2.11, 1.82, 1.09]",Arb. units,2$\Theta$,"[17.18, 22.46, 22.92, 24.94, 25.88, 25.94, 26.34, 28.98, 31.54, 33.68, 34.45, 34.77, 36.55, 36.86, 37.11, 37.75, 38.96, 40.02, 40.87, 43.22, 43.39, 43.72, 44.16, 45.43, 45.81, 46.17, 46.28, 47.49, 47.8, 48.75, 49.22, 50.22, 50.81, 51.16, 53.01, 53.25, 53.31, 53.34, 54.22, 54.41, 54.97, 57.17, 57.77, 58.27, 58.48, 58.48, 59.51, 59.82, 59.91, 60.04, 60.05, 61.07, 61.21, 61.39, 61.68, 62.6, 62.71, 63.2, 63.85, 64.53, 64.91, 65.85, 65.98, 66.52, 66.9, 67.84, 67.9, 69.03, 69.23, 69.94, 70.54, 70.69, 70.81, 70.83, 71.49, 72.31, 72.4, 72.43, 72.64, 73.25, 73.41, 73.9, 74.36, 74.66, 75.24, 76.76, 77.05, 78.0, 78.12, 78.43, 78.46, 78.76, 78.98, 79.05, 80.63, 82.34, 82.94, 83.79, 83.99, 84.04, 84.89, 85.06, 85.84, 86.37, 86.45, 87.13, 87.13, 87.97, 88.56, 89.34, 89.79, 89.8, 90.0]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Denne W A, Small R W H. Acta Crystallographica B27 (1971) 1094-1098.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Acetamide,X-ray diffraction,Intensity,"[60.77, 2.06, 4.9, 2.87, 100.0, 6.6, 2.95, 11.02, 13.33, 2.01, 1.68, 3.03, 7.34, 6.11, 3.44, 3.89, 2.98, 2.96, 1.69, 4.24, 1.19]",Arb. units,2$\Theta$,"[15.38, 15.78, 22.1, 24.49, 25.0, 26.79, 27.03, 27.74, 31.04, 31.87, 33.02, 35.0, 35.56, 38.43, 40.92, 41.45, 45.08, 51.69, 52.24, 53.05, 57.67]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Kirchner M T, Boese R, Billups W E, Norman L R. Journal of the American Chemical Society 126 (2004) 9407-9412.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Acetylene-hydrate,X-ray diffraction,Intensity,"[3.03, 9.82, 12.03, 4.61, 42.13, 42.03, 100.0, 8.96, 23.97, 10.59, 7.01, 3.98, 2.12, 1.56, 6.32, 23.74, 11.45, 10.59, 2.8, 7.46, 2.61, 17.95, 2.15, 3.98, 2.53, 1.02, 1.26, 1.99, 1.58, 2.01, 1.52, 1.02, 1.21, 1.11]",Arb. units,2$\Theta$,"[14.9, 16.67, 18.27, 23.65, 25.95, 27.03, 28.07, 30.05, 31.0, 31.92, 34.55, 35.39, 37.82, 38.59, 40.85, 44.41, 44.41, 45.09, 45.77, 45.77, 46.44, 47.1, 47.1, 48.4, 49.04, 49.04, 60.82, 63.54, 65.14, 65.67, 66.72, 73.89, 75.88, 79.82]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Wyckoff R W G. Crystal Structures 1 (1963) 85-237.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Achavalite,X-ray diffraction,Intensity,"[5.67, 1.75, 100.0, 95.29, 52.41, 20.18, 1.79, 14.22, 8.41, 19.28, 6.62, 3.65, 19.21, 4.73, 5.43]",Arb. units,2$\Theta$,"[28.33, 30.0, 32.15, 41.73, 50.17, 54.63, 59.56, 60.84, 62.34, 67.24, 77.33, 82.66, 83.98, 87.53, 88.43]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Wyckoff R W G. Crystal Structures 1 (1963) 7-83.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Actinium,X-ray diffraction,Intensity,"[100.0, 50.25, 33.79, 38.07, 10.76, 4.6, 13.17, 11.96]",Arb. units,2$\Theta$,"[29.12, 33.75, 48.48, 57.56, 60.38, 70.99, 78.5, 80.96]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
10.1130/2006.2397(06),American Mineralogist Crystal Structure Database,"Evans B W, Yang H. American Mineralogist 83 (1998) 458-475.",http://rruff.geo.arizona.edu/AMS/amcsd.php,Actinolite,X-ray diffraction,Intensity,"[37.82, 80.68, 4.26, 10.42, 29.3, 2.64, 23.0, 1.3, 8.23, 2.48, 2.99, 22.25, 50.83, 35.38, 64.66, 1.92, 1.83, 4.93, 36.36, 9.89, 22.23, 100.0, 35.56, 6.86, 57.7, 1.63, 2.22, 2.32, 1.04, 1.01, 6.51, 34.56, 14.25, 15.07, 18.96, 1.1, 6.21, 5.0, 1.23, 29.82, 3.24, 2.71, 16.86, 14.11, 9.34, 5.86, 1.76, 4.89, 1.28, 3.38, 1.67, 6.48, 2.41, 10.46, 2.49, 3.6, 3.52, 4.04, 2.16, 5.41, 1.66, 1.32, 1.78, 1.12, 6.65, 7.07, 1.1, 5.56, 24.65, 6.77, 12.66, 4.18, 22.12, 1.1, 1.01, 5.12, 10.1, 4.01, 20.27, 10.39, 2.54, 5.13, 1.31, 1.8, 3.64, 1.64, 1.15, 4.43, 3.19, 3.04, 1.18, 1.16, 28.98, 1.52, 1.21, 11.48, 4.71, 2.67, 7.33, 1.17, 4.11, 2.63, 5.31, 2.13, 1.03, 7.83, 5.98, 1.09, 5.57, 13.77, 1.39, 2.27, 1.66, 3.55, 1.23, 5.01, 1.01, 1.23, 1.79, 8.93, 2.18, 4.42, 1.35, 1.18, 1.19, 1.45, 2.71, 1.07, 1.11, 1.83, 1.06, 1.02, 1.63]",Arb. units,2$\Theta$,"[9.79, 10.51, 17.35, 17.42, 18.18, 18.65, 19.64, 19.95, 21.1, 22.08, 22.27, 22.93, 26.32, 27.22, 28.57, 28.68, 29.57, 30.37, 30.37, 31.89, 32.79, 33.06, 34.56, 35.11, 35.42, 36.54, 36.84, 37.27, 37.28, 37.45, 37.73, 38.51, 38.8, 39.15, 39.62, 39.95, 40.82, 41.34, 41.63, 41.72, 42.16, 42.38, 44.26, 44.9, 45.03, 45.28, 45.96, 46.19, 46.2, 46.92, 47.12, 48.08, 48.48, 48.77, 48.86, 49.35, 49.57, 50.28, 50.48, 52.44, 53.34, 53.43, 53.79, 54.18, 54.4, 54.43, 54.63, 54.83, 55.66, 56.14, 56.85, 58.17, 58.43, 59.1, 59.35, 59.39, 60.43, 60.95, 61.24, 61.56, 61.71, 61.73, 62.63, 63.18, 63.19, 63.29, 63.41, 63.78, 64.13, 64.19, 64.32, 64.77, 64.85, 65.49, 66.84, 68.73, 69.11, 69.33, 70.11, 70.18, 70.5, 70.51, 70.54, 71.42, 71.65, 72.14, 72.26, 72.87, 72.88, 73.07, 73.21, 73.93, 74.0, 74.21, 74.37, 74.95, 77.33, 77.42, 77.65, 80.03, 80.81, 83.06, 83.27, 83.64, 84.18, 84.24, 86.44, 86.72, 87.45, 87.84, 88.38, 88.66, 89.87]",$^{\circ}$,X-ray wavelength,1.541838,$\AA$
